PlayList,Genre,Artist,Album,PathDest,PathSource
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\00. Afro-Cuban All Stars - Hidden Track One Audio.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\00. Afro-Cuban All Stars - Hidden Track One Audio.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\01. Afro-Cuban All Stars - Amor Verdadero.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\01. Afro-Cuban All Stars - Amor Verdadero.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\02. Afro-Cuban All Stars - Alto Songo.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\02. Afro-Cuban All Stars - Alto Songo.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\03. Afro-Cuban All Stars - Habana del Este.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\03. Afro-Cuban All Stars - Habana del Este.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\04. Afro-Cuban All Stars - A Toda Cuba le Gusta.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\04. Afro-Cuban All Stars - A Toda Cuba le Gusta.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\05. Afro-Cuban All Stars - Fiesta de la Rumba.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\05. Afro-Cuban All Stars - Fiesta de la Rumba.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\06. Afro-Cuban All Stars - Los Sitio' Asere.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\06. Afro-Cuban All Stars - Los Sitio' Asere.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\07. Afro-Cuban All Stars - P?o Mentiroso.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\07. Afro-Cuban All Stars - P?o Mentiroso.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\08. Afro-Cuban All Stars - Mar?a Caracoles.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\08. Afro-Cuban All Stars - Mar?a Caracoles.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\09. Afro-Cuban All Stars - Clasiqueando con Rub?n.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\09. Afro-Cuban All Stars - Clasiqueando con Rub?n.flac
,,Afro-Cuban All Stars,Afro-Cuban All Stars - A Toda Cuba le Gusta,TF2:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\10. Afro-Cuban All Stars - Elube Chang?.flac,f:\Flac\Afro-Cuban All Stars\Afro-Cuban All Stars - A Toda Cuba le Gusta\10. Afro-Cuban All Stars - Elube Chang?.flac
,,Allie Moss,Melancholy Astronautic Man - Single,TF2:\iTunes\Allie Moss\Melancholy Astronautic Man - Single\01 Melancholy Astronautic Man.m4a,f:\iTunes\Allie Moss\Melancholy Astronautic Man - Single\01 Melancholy Astronautic Man.m4a
,,Allie Moss,Passerby,TF2:\iTunes\Allie Moss\Passerby\01 Corner.m4a,f:\iTunes\Allie Moss\Passerby\01 Corner.m4a
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\01. B.B. King - Caldonia.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\01. B.B. King - Caldonia.flac
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\02. B.B. King - How Blue Can You Get.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\02. B.B. King - How Blue Can You Get.flac
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\03. B.B. King - Goin Down Slow.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\03. B.B. King - Goin Down Slow.flac
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\04. B.B. King - I Got Some Help I Don't Need.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\04. B.B. King - I Got Some Help I Don't Need.flac
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\05. B.B. King - Just a Little Love.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\05. B.B. King - Just a Little Love.flac
,,B.B. King,B.B. King - King Biscuit,TF2:\Flac\B.B. King\B.B. King - King Biscuit\06. B.B. King - The Thrill Is Gone.flac,f:\Flac\B.B. King\B.B. King - King Biscuit\06. B.B. King - The Thrill Is Gone.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\00. B.B. King - Hidden Track One Audio.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\00. B.B. King - Hidden Track One Audio.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\01. B.B. King - Slidin' and Glidin'.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\01. B.B. King - Slidin' and Glidin'.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\02. B.B. King - Blues With B.B..flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\02. B.B. King - Blues With B.B..flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\03. B.B. King - King of Guitar.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\03. B.B. King - King of Guitar.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\04. B.B. King - Jump With B.B..flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\04. B.B. King - Jump With B.B..flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\05. B.B. King - 38th Street Blues.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\05. B.B. King - 38th Street Blues.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\06. B.B. King - Feedin' the Rock.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\06. B.B. King - Feedin' the Rock.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\07. B.B. King - Just Like a Woman.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\07. B.B. King - Just Like a Woman.flac
,,B.B. King,B.B. King - Spotlight On Lucille,TF2:\Flac\B.B. King\B.B. King - Spotlight On Lucille\08. B.B. King - Step It Up.flac,f:\Flac\B.B. King\B.B. King - Spotlight On Lucille\08. B.B. King - Step It Up.flac
